Station number,Location,BNG_X,BNG_Y,Latitude,Longfitude,IG_Easting,IG_Northing
3902,City Hall,146183.2,529538.9,54.597,-5.92995,333769.8,374065.17
3903,Victoria Square/Victoria Street,146633.9,529644.9,54.5982,-5.92309,334209.7,374209.16
3904,Donegall Quay,146786.3,530003.4,54.6015,-5.92104,334331,374579.37
3905,Central Station/Mays Meadow,147108.4,529283.5,54.5952,-5.91545,334713.2,373889.58
3906,St George's Market/Cromac Square,146656.9,529299.8,54.5951,-5.92243,334262.1,373867.39
3907,Gasworks (Cromac Street),146504.8,528972.2,54.5921,-5.9245,334138.5,373528.02
3908,Belfast Waterfront/Lanyon Place,146821.7,529517.9,54.5971,-5.92008,334407.7,374098.69
3909,Botanic Avenue/Shaftesbury Square,145977.2,528682.3,54.5892,-5.9324,333637.6,373194.23
3910,Europa Bus Station/Blackstaff Square,146022.6,529299.5,54.5948,-5.93223,333630.3,373812.95
3911,Great Victoria Street/Hope Street,145940.1,529155,54.5934,-5.93338,333560.3,373661.94
3912,Castle Place/Royal Avenue,146221.6,529808.3,54.5994,-5.92959,333785.1,374336.86
3914,Cathedral Gardens/York Street,146323.6,530265.2,54.6036,-5.92842,333847.7,374800.74
3915,Carrick Hill/St Patrick's Church,146113.1,530427,54.6049,-5.93181,333624.2,374943.93
3918,Bankmore Square/Dublin Road,146135.7,529043.4,54.5925,-5.93026,333764.7,373567.44
3919,College Square East,145929.7,529580.5,54.5973,-5.93391,333513.7,374084.96
3920,Millfield/Divis Street,145858.7,529843.6,54.5996,-5.93523,333420.5,374341.01
3921,Odyssey/Sydenham Road,147113.7,530248.1,54.6038,-5.9162,334636.3,374851.03
3922,Corporation Square,146848.1,530372.1,54.6048,-5.92041,334361.1,374951.91
3923,Alfred Street/St Malachy's Church,146397.8,529279.4,54.5948,-5.92642,334005.7,373824.93
3924,Bradbury Place,145835,528556.7,54.588,-5.93448,333506.7,373056.95
3925,Royal Avenue/Castlecourt,146179.7,530014.5,54.6013,-5.93042,333725.7,374538.63
3926,Cotton Court/Waring Street,146528.2,529997.8,54.6013,-5.92502,334074.4,374551.72
3927,Gasworks (Lagan Towpath),146692.7,528855.4,54.5911,-5.9215,334335.6,373427.68
3928,Linenhall Street/Donegall Square South,146249.6,529386,54.5957,-5.9288,333849,373918.47
3929,Arthur Street/Chichester Street,146406.2,529583,54.5975,-5.92655,333988.2,374128.07
3932,Titanic Belfast MET,147525.9,530411.1,54.6055,-5.90997,335033,375048.58
3933,Queen's University/University Road,145728.5,528155.3,54.5844,-5.93578,333434.8,372648.03
3934,Queen's University/Botanic Gardens,145978.7,528114.9,54.5841,-5.93188,333687.4,372629.1
3939,Carlisle Circus,145846,530712,54.607431,-5.9372019,333319,375185
3943,Antrim Road/Duncairn Centre,145967,531259,54.6124,-5.93581,333393,375741
3935,Belfast City Hospital (Lisburn Road),145652,528444,54.587,-5.93824,333319,372910
3944,C S Lewis Square,148771,529519,54.5982,-5.891,336335,374247
3941,Falls Road/Twin Spire,145285,529848,54.5994,-5.94512,332834,374277
3942,Girdwood Community Hub/Cliftonville,145574,531237,54.612,-5.94186,333003,375685
3940,Grosvenor Road/Servia Street,145084,529402,54.5953,-5.94784,332671,373815
3937,Mater Hospital/Crumlin Road,145832,530787,54.6081,-5.93749,333298,375259
3936,Royal Victoria Hospital,144467,528834,54.5899,-5.95687,332105,373197
3938,Shankill Leisure Centre/Shankill Road,145360,530312,54.6036,-5.94437,332869,374745
